"Campaign name",Age,Gender,Day,Reach,Impressions,Frequency,"Amount spent (USD)","Attribution setting","Clicks (all)","CTR (all)","Reporting starts","Reporting ends"
"No Name Nutrition",35-44,female,2026-09-03,22,22,1,0.2208577,"7-day click or 1-day view",2,9.09090909,2026-09-03,2026-09-03
"No Name Nutrition",18-24,male,2026-09-03,2,2,1,0.01003899,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",18-24,female,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",65+,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",55-64,male,2026-09-03,19,24,1.26315789,0.61084983,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",25-34,male,2026-09-03,4,4,1,0.02181607,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",45-54,female,2026-09-03,16,21,1.3125,0.40359721,"7-day click or 1-day view",1,4.76190476,2026-09-03,2026-09-03
"Today's Dental - 2026",45-54,female,2026-09-03,105,184,1.75238095,1.45560888,"7-day click or 1-day view",2,1.08695652,2026-09-03,2026-09-03
"Controlled Comfort",35-44,female,2026-09-03,14,32,2.28571429,0.32724098,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",55-64,female,2026-09-03,43,48,1.11627907,0.67629802,"7-day click or 1-day view",1,2.08333333,2026-09-03,2026-09-03
"Controlled Comfort",45-54,male,2026-09-03,21,38,1.80952381,2.99970896,"7-day click or 1-day view",5,13.15789474,2026-09-03,2026-09-03
"Controlled Comfort",65+,female,2026-09-03,91,116,1.27472527,1.76710128,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",65+,male,2026-09-03,68,88,1.29411765,1.19988359,"7-day click or 1-day view",8,9.09090909,2026-09-03,2026-09-03
"Controlled Comfort",35-44,male,2026-09-03,30,49,1.63333333,1.04717113,"7-day click or 1-day view",2,4.08163265,2026-09-03,2026-09-03
"Today's Dental - 2026",55-64,unknown,2026-09-03,2,17,8.5,0.10179083,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",25-34,female,2026-09-03,53,57,1.0754717,0.41734241,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",65+,unknown,2026-09-03,3,3,1,0.04071633,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",25-34,male,2026-09-03,67,81,1.20895522,0.6616404,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",18-24,female,2026-09-03,9,9,1,0.07082111,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Jill of all Trades",55-64,male,2026-09-03,10,11,1.1,0.16374269,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",45-54,male,2026-09-03,23,28,1.2173913,0.18070175,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",55-64,unknown,2026-09-03,2,4,2,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",45-54,male,2026-09-03,35,38,1.08571429,0.15403587,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",35-44,male,2026-09-03,37,52,1.40540541,0.21565022,"7-day click or 1-day view",2,3.84615385,2026-09-03,2026-09-03
"Superior Honda",25-34,male,2026-09-03,25,29,1.16,0.13349776,"7-day click or 1-day view",1,3.44827586,2026-09-03,2026-09-03
"Superior Honda",65+,male,2026-09-03,57,82,1.43859649,0.60587444,"7-day click or 1-day view",2,2.43902439,2026-09-03,2026-09-03
"Superior Honda",65+,female,2026-09-03,72,113,1.56944444,1.61224215,"7-day click or 1-day view",3,2.65486726,2026-09-03,2026-09-03
"Superior Honda",45-54,female,2026-09-03,12,12,1,0.04107623,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",55-64,female,2026-09-03,38,59,1.55263158,1.01663677,"7-day click or 1-day view",2,3.38983051,2026-09-03,2026-09-03
"Superior Honda",18-24,male,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",65+,unknown,2026-09-03,1,1,1,0.01026906,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",65+,unknown,2026-09-03,3,5,1.66666667,0.0100339,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",35-44,female,2026-09-03,33,47,1.42424242,0.50318386,"7-day click or 1-day view",2,4.25531915,2026-09-03,2026-09-03
"Boomer - Traffic",45-54,male,2026-09-03,13,26,2,0.04013559,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",55-64,female,2026-09-03,44,69,1.56818182,0.16054237,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",65+,male,2026-09-03,101,193,1.91089109,0.74250847,"7-day click or 1-day view",3,1.55440415,2026-09-03,2026-09-03
"Boomer - Traffic",45-54,female,2026-09-03,21,67,3.19047619,0.10033898,"7-day click or 1-day view",1,1.49253731,2026-09-03,2026-09-03
"Boomer - Traffic",65+,female,2026-09-03,213,548,2.57276995,1.70576271,"7-day click or 1-day view",11,2.00729927,2026-09-03,2026-09-03
"Boomer - Traffic",55-64,male,2026-09-03,35,43,1.22857143,0.16054237,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",35-44,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",35-44,female,2026-09-03,3,3,1,0.0100339,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Boomer - Traffic",35-44,male,2026-09-03,2,2,1,0.03010169,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",25-34,female,2026-09-03,8,8,1,0.04107623,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Superior Honda",55-64,male,2026-09-03,31,35,1.12903226,0.21565022,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Jill of all Trades",35-44,male,2026-09-03,14,20,1.42857143,0.1125731,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
